Carpet Area,BHK,House Type,Furnishing,Address,Price
1580 sqft,3,Apartment,Unfurnished,Bhatha Surat,"₹
65 Lac"
1665 sqft,3,Apartment,Unfurnished,Bhatha Surat,"₹
53 Lac"
625 sqft,3,N/A,Unfurnished,Katargam Surat,"₹
10 Lac"
600 sqft,1,N/A,Unfurnished,L H ROAD Surat,"₹
9 Lac"
700 sqft,1,Apartment,Unfurnished,LP Savani Surat,"₹
18 Lac"
750 sqft,1,Apartment,Semi-Furnished,LP Savani Surat,"₹
20 Lac"
820 sqft,2,House,Unfurnished,Kim Char Rasta Surat,"₹
25 Lac"
1946 sqft,2,House,Unfurnished,Kawas Surat,"₹
40 Lac"
720 sqft,1,House,Unfurnished,Limbayat Surat,"₹
65 Lac"
480 sqft,1,House,Unfurnished,Jolva Surat,"₹
10.5 Lac"
1100 sqft,2,Apartment,Semi-Furnished,"Swastik Wood, Vesu Surat","₹
72 Lac"
110 sqft,3,Villa,Unfurnished,"Nirvana Gladiolus, Narthan Surat","₹
65 Lac"
910 sqft,2,Apartment,Furnished,Amroli Surat,"₹
23 Lac"
1200 sqft,2,Apartment,Unfurnished,Umra Surat,"₹
47 Lac"
193 sqyrd,5,House,Furnished,Kamrej Surat,"₹
2.20 Cr"
850 sqft,2,House,Unfurnished,Sachin Surat,"₹
16 Lac"
1040 sqft,2,House,Unfurnished,Kamrej Surat,"₹
45 Lac"
