Carpet Area,BHK,House Type,Furnishing,Address,Price
635 sqft,2,Apartment,Unfurnished,"Golden Icon, Vasna Bhayli Main Road Vadodara","₹
34 Lac"
1650 sqft,4,Villa,Unfurnished,Gotri Vadodara,"₹
2.50 Cr"
800 sqft,2,Apartment,Furnished,Gotri Vadodara,"₹
37 Lac"
840 sqft,3,Apartment,Unfurnished,"The Planet 1, Bill Vadodara","₹
27 Lac"
1800 sqft,4,Villa,Unfurnished,"PARKFIELDS, Tarsali Vadodara","₹
66.5 Lac"
1270 sqft,3,Villa,Unfurnished,"Shivanta Villa, Kapurai Village Vadodara","₹
68.5 Lac"
1800 sqft,5,House,Furnished,"Parth Apartment, Manjalpur Vadodara","₹
2.40 Cr"
1600 sqft,4,Villa,Unfurnished,"ParkPlush, Waghodia Road Vadodara","₹
54.9 Lac"
925 sqft,2,Apartment,Unfurnished,"Shubh Enclave, Vadsar Vadodara","₹
20.5 Lac"
1749 sqft,4,Apartment,Furnished,"Earth The Landmark, Tandalja Vadodara","₹
99.1 Lac"
853 sqft,2,Apartment,Furnished,Sama Savli Road Vadodara,"₹
47.5 Lac"
1185 sqft,2,Apartment,Semi-Furnished,Gotri Vadodara,"₹
44 Lac"
550 sqft,2,Apartment,Semi-Furnished,Sun Pharma Road Vadodara,"₹
19 Lac"
1200 sqft,3,Villa,Semi-Furnished,"Shyamal Greens, Waghodia Road Vadodara","₹
70 Lac"
2200 sqft,4,House,Semi-Furnished,Padra Road Vadodara,"₹
1.20 Cr"
1500 sqft,3,Apartment,Unfurnished,"Shreeji Residency, Sun Pharma Road Vadodara","₹
45 Lac"
1087 sqft,3,Apartment,Unfurnished,"Fortune Air, Gotri Vadodara","₹
70 Lac"
1003 sqft,3,Apartment,Unfurnished,"Sahajanand Elegance, Atladra Vadodara","₹
50 Lac"
2304 sqft,3,N/A,Unfurnished,"Ananta Samruddhi, Ajwa Road Vadodara","₹
36 Lac"
1740 sqft,4,Apartment,Unfurnished,"Aashray Eminent, Vasna Bhayli Main Road Vadodara","₹
1.20 Cr"
1200 sqft,3,N/A,Semi-Furnished,"The Mark, Bill Vadodara","₹
40 Lac"
400 sqft,2,House,Semi-Furnished,"Yash Complex, Gotri Vadodara","₹
35 Lac"
700 sqft,2,Apartment,Unfurnished,"Raama Shikhar Residency, Vemali Vadodara","₹
30 Lac"
1543 sqft,3,Apartment,Unfurnished,"Aditya Landmark, Bhayli Vadodara","₹
66 Lac"
1100 sqft,3,Apartment,Unfurnished,Gotri Vadodara,"₹
65 Lac"
1423 sqft,4,Villa,Unfurnished,"Aditya Galaxy, Bhayli Vadodara","₹
1.40 Cr"
1500 sqft,4,Apartment,Semi-Furnished,"Roseland Residency, Sama Savli Road Vadodara","₹
60 Lac"
1250 sqft,2,Apartment,Semi-Furnished,"Sky Marc , Sama Savli Road Vadodara","₹
37.5 Lac"
750 sqft,2,Apartment,Semi-Furnished,"BALAJI RESIDENCY, Chhani Jakat Naka Vadodara","₹
43 Lac"
812 sqft,2,Apartment,Furnished,"Memories Apartment, Vasant Vihar Vadodara","₹
38 Lac"
1300 sqft,2,N/A,Semi-Furnished,Waghodia Road Vadodara,"₹
42 Lac"
970 sqft,2,Apartment,Unfurnished,"Omkara Residency, Guru Gobindsinhji Marg Vadodara","₹
29.5 Lac"
1850 sqft,3,Apartment,Unfurnished,"Madhuvan The Status, Harni Vadodara","₹
80 Lac"
1200 sqft,3,Apartment,Unfurnished,"Fortune Greenfields 3, Vasna Bhayli Main Road Vadodara","₹
35.5 Lac"
3500 sqft,4,N/A,Semi-Furnished,Alkapuri Vadodara,"₹
3.50 Cr"
1050 sqft,2,Apartment,Unfurnished,RV Desai Road Vadodara,"₹
40 Lac"
900 sqft,2,Apartment,Unfurnished,"Fortune Greenfields 3, Vasna Bhayli Main Road Vadodara","₹
26 Lac"
2100 sqft,4,Apartment,Unfurnished,Alkapuri Vadodara,"₹
1.46 Cr"
1560 sqft,3,Apartment,Unfurnished,Alkapuri Vadodara,"₹
1.30 Cr"
1100 sqft,2,Apartment,Unfurnished,Vasna Bhayli Main Road Vadodara,"₹
38 Lac"
1253 sqft,3,Apartment,Unfurnished,"Iscon Heights, Gotri Vadodara","₹
78 Lac"
1206 sqft,3,Apartment,Semi-Furnished,Sama Savli Road Vadodara,"₹
80 Lac"
950 sqft,3,Apartment,Semi-Furnished,"Bakeri Swara, Makar Pura Vadodara","₹
50 Lac"
450 sqft,2,Apartment,Semi-Furnished,"Dhun Shilp Greens, Harni Vadodara","₹
25.3 Lac"
639 sqft,2,Apartment,Unfurnished,"Shree Ghanshyam Residency, Atladra Vadodara","₹
25 Lac"
579 sqft,2,Apartment,Unfurnished,"Akshar Enclave, Vasna Bhayli Main Road Vadodara","₹
24.5 Lac"
1750 sqft,3,Apartment,Unfurnished,"Pratham Bluets, New Alkapuri Vadodara","₹
70 Lac"
1450 sqft,2,Apartment,Semi-Furnished,Alkapuri Vadodara,"₹
51 Lac"
1500 sqft,4,House,Semi-Furnished,Old Padra Road Vadodara,"₹
70 Lac"
4500 sqft,4,Villa,Furnished,New Alkapuri Vadodara,"₹
5 Cr"
1830 sqft,3,Apartment,Unfurnished,"ISCON Habitat, Gotri Vadodara","₹
75 Lac"
950 sqft,2,House,Unfurnished,Akota Vadodara,"₹
55 Lac"
1150 sqft,2,Apartment,Unfurnished,"Giriraj Green, Ajwa Road Vadodara","₹
33 Lac"
2600 sqft,3,Villa,Unfurnished,"Shantiniketan Bungalows, Bhayli Vadodara","₹
2.75 Cr"
